updated.IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,dam.IDF51,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID
467062,Albino,F,NA,10/6/2006,NA,454331,447213,00068B8343,HSF0139,100,LT,HSM0033,HSF0058
478213,Brown hood,F,NA,11/2/2006,NA,454331,447213,00068BA51F,HSF0139B,100,LM,HSM0033,HSF0058
447771,Brown hood,F,NA,8/9/2006,NA,447161,447662,00068B9C04,HSF0140,100,RT,HSM0026,HSF0047
461641,Black,F,NA,9/3/2006,NA,414571,414542,00068AD438,HSF0141,100,LM,HSM0009,HSF0007
456021,Brown,F,NA,9/2/2006,NA,447661,454352,00068B71F1,HSF0142,100,RB,HSM0047,HSF0040
447755,Brown hood,F,NA,7/27/2006,NA,447181,447212,00068B89D3,HSF0143,100,LM,HSM0028,HSF0034
462481,Brown,F,NA,9/7/2006,NA,414631,447132,00068BA406,HSF0144,100,RT,HSM0021,HSF0022
466802,Black hood,F,NA,9/25/2006,NA,414561,414592,00068B712A,HSF0145,100,RM,HSM0005,HSF0003
483711,Black hood,F,NA,11/12/2006,NA,447641,447243,00068B54E8,HSF0146,100,RB,HSM0045,HSF0060
466721,Black Hood,F,NA,9/13/2006,NA,454341,447233,00068B6984,HSF124B,100,LT,HSM0038,HSF0059
440772,Black hood,M,NA,6/15/2006,NA,414541,414562,00068E2D48,HSM0101,100,RM,HSM0007,HSF0005
441942,Brown hood,M,NA,5/31/2006,NA,414452,414522,00068E228C,HSM0102,100,RM,HSM0016B,HSF0001
438742,Albino,M,NA,6/18/2006,NA,447131,447122,00068EAEA3,HSM0103,100,RM,HSM0022,HSF0020
440792,Black hood,M,NA,6/15/2006,NA,414452,414602,00068E2A39,HSM0104,100,LT,HSM0016B,HSF0014
438751,Black,M,NA,6/15/2006,NA,447121,447113,00068E9E17,HSM0105,100,RT,HSM0020,HSF0002
438805,Brown,M,NA,6/4/2006,NA,414611,414512,00068EB23C,HSM0106,100,RT,HSM0008,HSF0012
439882,Black hood,M,NA,6/11/2006,NA,414481,414642,00068E0F84,HSM0107,100,RM,HSM0019,HSF0017
439871,Brown hood,M,NA,6/12/2006,NA,414471,414502,00068E3AEC,HSM0108,100,RT,HSM0006,HSF0018
440821,Black,M,NA,6/21/2006,NA,414641,414462,00068E246B,HSM0109,100,LT,HSM0017,HSF0015
433041,Brown hood,M,NA,6/11/2006,NA,414551,414612,00068E3903,HSM0110,100,RT,HSM0010,HSF0008
440802,Brown,M,NA,6/16/2006,NA,414531,414582,00068EB49E,HSM0111,100,LM,HSM0024,HSF0004
438733,Black hood,M,NA,6/18/2006,NA,414621,447142,00068EB409,HSM0112,100,RB,HSM0023,HSF0025
433032,Brown,M,NA,6/12/2006,NA,414491,414282,00068E0D6E,HSM0113,100,RM,HSM0013,HSF0011
438772,Black,M,NA,6/18/2006,NA,447111,414632,00068E1277,HSM0114,100,RM,HSM0002,HSF0021
439863,Brown,M,NA,6/12/2006,NA,414581,414482,000697B261,HSM0115,100,RB,HSM0004,HSF0019
438781,Brown hood,M,NA,6/1/2006,NA,414511,414622,00068E1954,HSM0116,100,RT,HSM0012,HSF0023
438632,Albino,M,NA,6/2/2006,NA,414281,414572,00068E3C19,HSM0117,100,LM,HSM0011,HSF0009
447912,Black,M,NA,7/12/2006,NA,414461,414472,00068E03AE,HSM0118,100,RM,HSM0015,HSF0006
441934,Black hood,M,NA,5/29/2006,NA,414501,414492,00068E02F3,HSM0119,100,LT,HSM0018,HSF0013
438892,Albino,M,NA,6/7/2006,NA,414521,414532,00068E9926,HSM0120,100,RM,HSM0001,HSF0024
447801,Black hood,M,NA,8/6/2006,NA,447141,447642,00068E2ACF,HSM0121,100,RT,HSM0025,HSF0045
438795,Brown,M,NA,6/4/2006,NA,414601,414552,00068E0AD3,HSM0122,100,LM,HSM0014,HSF0010
455952,Black,M,NA,8/18/2006,NA,454321,447172,00068E15BD,HSM0123,100,RM,HSM0032,HSF0027
455963,Black,M,NA,8/18/2006,NA,454341,447233,00068EA7AB,HSM0124,100,LT,HSM0038,HSF0059
459252,Brown,M,NA,8/22/2006,NA,447171,447203,00068B9FF2,HSM0125,100,RM,HSM0027,HSF0057
456032,Albino,M,NA,9/3/2006,NA,447651,454362,00068B5B46,HSM0126,100,RM,HSM0046,HSF0042
449424,Black,M,NA,8/11/2006,NA,447221,447202,00068B83CF,HSM0127,100,RM,HSM0035,HSF0031
447793,Brown hood,M,NA,8/6/2006,NA,447241,447182,00068B07D6,HSM0128,100,RB,HSM0039,HSF0028
478253,Brown hood,M,NA,11/6/2006,NA,454381,447663,00068B031C,HSM0129,100,RB,HSM0048,HSF0061
456053,Black hood,M,NA,8/30/2006,NA,454333,454382,00068B7EF4,HSM0131,100,RT,HSM0056,HSF0048
447761,Black hood,M,NA,7/27/2006,NA,447191,447652,00068B3F4D,HSM0132,100,RT,HSM0029,HSF0046
456002,Brown,M,NA,8/25/2006,NA,454361,454332,00068B595A,HSM0133,100,RLT,HSM0042,HSF0033
449413,Black hood,M,NA,7/24/2007,NA,447231,447162,00068B9574,HSM0134,100,RT,HSM0037,HSF0026
455993,Black hood,M,NA,9/18/2006,NA,454371,454322,00068AECFD,HSM0135,100,RB,HSM0044,HSF0032
455972,Black,M,NA,8/20/2006,NA,454351,447222,00068AD4AD,HSM0136,100,LT,HSM0040,HSF0035
456043,Black hood,M,NA,8/31/2006,NA,447201,454372,00068B238B,HSM0137,100,LT,HSM0031,HSF0044
467061,Brown hood,M,NA,10/6/2006,NA,454331,447213,00068B732D,HSM0139,100,RT,HSM0033,HSF0058
447772,Brown,M,NA,8/9/2006,NA,447161,447662,00068B5C17,HSM0140,100,RM,HSM0026,HSF0047
461642,Black hood,M,NA,9/3/2006,NA,414571,414542,00068B94DD,HSM0141,100,LB,HSM0009,HSF0007
456022,Black,M,NA,9/2/2006,NA,447661,454352,00068B6E3A,HSM0142,100,LT,HSM0047,HSF0040
447754,Black hood,M,NA,7/27/2006,NA,447181,447212,00068BA51B,HSM0143,100,LT,HSM0028,HSF0034
462482,Brown hood,M,NA,9/7/2006,NA,414631,447132,00068B94A6,HSM0144,100,RM,HSM0021,HSF0022
466801,Black,M,NA,9/25/2006,NA,414561,414592,00068B8013,HSM0145,100,RT,HSM0005,HSF0003
467041,Black hood,M,NA,9/28/2006,NA,447641,447243,00068B9112,HSM0146,100,RT,HSM0045,HSF0060
447747,Brown,M,NA,7/28/2006,NA,447211,447192,00068B9379,HSM0130,100,RM,HSM0034,HSF0029
447785,Brown hood,M,NA,8/4/2006,NA,447112,447232,00068BA2F9,HSM0138,100,RT,HSM0002B,HSF0037
438734,Black hood,F,NA,6/18/2006,NA,414621,447142,00068E8F61,HSF0112,100,LT,HSM0023,HSF0025
447748,Brown,F,NA,7/28/2006,NA,447211,447192,00068B2273,HSF0130,100,LT,HSM0034,HSF0029
447786,Black hood,F,NA,8/4/2006,NA,447112,447232,00068B2AB0,HSF0138,100,RM,HSM0002B,HSF0037
