ID.F51,CC,Sex,Fam.No,DOB,Home.Cage,Sire.ID,Dam.ID,Transponder.number,SW.ID,Generation,Ear.Punch,Sire.SW.ID,Dam.SW.ID
658471,Brown,M,NA,7/7/13,NA,651071,651082,1091,HSM01416,1400,LM,HSM01316,HSF01317
656431,Black,M,NA,6/9/13,NA,656091,656102,1086,HSM01417,1400,LT,HSM01317B,HSF01324B
654831,Black,M,NA,2/6/13,NA,651091,651102,1007,HSM01418,1400,LB,HSM01318,HSF01319
654841,Brown.Hood,M,NA,2/10/13,NA,651101,651112,1017,HSM01419,1400,LM,HSM01319,HSF01320
654851,Brown.Hood,M,NA,2/8/13,NA,651971,651122,1011,HSM01420,1400,LM,HSM01320,HSF01321
654861,Albino,M,NA,2/7/13,NA,651121,651132,1009,HSM01421,1400,LT,HSM01321,HSF01322
654871,Black,M,NA,2/8/13,NA,651131,651142,1013,HSM01422,1400,LB,HSM01322,HSF01323
654881,Black,M,NA,2/21/13,NA,651141,651152,1039,HSM01423,1400,LT,HSM01323,HSF01324
654891,Black.Hood,M,NA,2/18/13,NA,651151,651162,1046,HSM01424,1400,LM,HSM01324,HSF01325
654901,Albino,M,NA,3/18/13,NA,651161,651982,1069,HSM01425,1400,LT,HSM01325,HSF01326
654911,Black.Hood,M,NA,3/5/13,NA,651171,651182,1056,HSM01426,1400,LB,HSM01326,HSF01327
654921,Black,M,NA,2/8/13,NA,651181,651192,1015,HSM01427,1400,LT,HSM01327,HSF01328
654991,Albino,M,NA,2/13/13,NA,651191,651202,1019,HSM01428,1400,LB,HSM01328,HSF01329
655001,Brown,M,NA,2/15/13,NA,651201,651212,1029,HSM01429,1400,LM,HSM01329,HSF01330
655011,Brown,M,NA,2/15/13,NA,651211,651222,1031,HSM01430,1400,LB,HSM01330,HSF01331
655021,Brown,M,NA,3/9/13,NA,652721,651232,1060,HSM01431,1400,LM,HSM01331B,HSF01332
655031,Brown.Hood,M,NA,2/13/13,NA,651231,651242,1021,HSM01432,1400,LT,HSM01332,HSF01333
655041,Albino,M,NA,2/14/13,NA,651241,651252,1023,HSM01433,1400,LM,HSM01333,HSF01334
655051,Black,M,NA,2/14/13,NA,652501,651382,1025,HSM01434,1400,LB,HSM01334,HSF01335
655061,Black,M,NA,3/9/13,NA,651381,651262,1062,HSM01435,1400,LB,HSM01335,HSF01336
655071,Brown.Hood,M,NA,3/3/13,NA,651261,651272,1052,HSM01436,1400,LT,HSM01336,HSF01337
655081,Black,M,NA,3/9/13,NA,651271,651372,1064,HSM01437,1400,LT,HSM01337,HSF01338
655091,Black,M,NA,2/15/13,NA,651371,651282,1033,HSM01438,1400,LT,HSM01338,HSF01339
661491,Black,M,NA,10/28/13,NA,651371,651282,1201,HSM01438B,1400,LT,HSM01338,HSF01339
659451,Black,M,NA,8/3/13,NA,654741,654712,1099,HSM01439,1400,LT,HSM01339,HSF01319B
657631,Black,M,NA,8/5/13,NA,657311,655772,1100,HSM01440,1400,LM,HSM01340B,HSF01319BB
660331,Black.hood,M,NA,9/5/13,NA,657311,655772,1177,HSM01440B,1400,LT,HSM01340B,HSF01319BB
655141,Brown.Hood,M,NA,2/22/13,NA,651301,651312,1043,HSM01441,1400,LB,HSM01341,HSF01342
660771,Brown,M,NA,9/27/13,NA,651091,651102,1186,HSM01441B,1400,LT,HSM01318,HSF01319
655151,Albino,M,NA,2/20/13,NA,651311,651322,1037,HSM01442,1400,LB,HSM01342,HSF01343
655161,Black.Hood,M,NA,2/22/13,NA,651321,651332,1045,HSM01443,1400,LT,HSM01343,HSF01344
655171,Albino,M,NA,4/15/13,NA,651331,651342,1081,HSM01444,1400,LM,HSM01344,HSF01345
655181,Albino,M,NA,4/3/13,NA,654761,654112,1075,HSM01445,1400,LM,HSM01345,HSF01346
656641,Albino,M,NA,4/8/13,NA,654111,651442,1079,HSM01446,1400,LT,HSM01346,HSF01301
